Datum;Eröffnung;Hoch;Tief;Schluss;Veränderung
02.11.2022;3862.45;4102.51;3697.39;4076.68;5.54646532
03.10.2022;3593.15;3916.16;3491.26;3852.50;7.217877919
02.09.2022;3960.29;4147.78;3584.65;3585.50;-9.463784218
02.08.2022;4098.41;4325.53;3903.14;3966.72;-3.213273589
04.07.2022;3806.37;4145.03;3721.08;4118.20;8.192144735
02.06.2022;4101.47;4183.75;3636.02;3825.55;-6.727469242
02.05.2022;4143.37;4308.13;3810.58;4100.14;-1.04332504
04.04.2022;4554.37;4593.67;4123.93;4133.71;-9.236229384
02.03.2022;4307.89;4637.58;4138.13;4544.93;5.50231518
02.02.2022;4569.78;4595.05;4107.05;4308.41;-5.719581808
03.01.2022;4773.27;4817.83;4221.70;4542.61;-4.83241924
02.12.2021;4549.84;4808.85;4494.40;4782.12;5.105069761
02.11.2021;4610.93;4743.51;4509.42;4511.18;-2.16339805
04.10.2021;4346.24;4627.06;4278.49;4613.67;6.153165069
02.09.2021;4523.04;4550.86;4270.44;4357.81;-3.653161213
02.08.2021;4418.48;4544.98;4352.33;4524.11;2.390526017
02.07.2021;4319.80;4430.09;4232.50;4397.77;1.804908236
02.06.2021;4200.92;4321.61;4146.91;4320.34;2.84279177
03.05.2021;4191.62;4240.49;4034.97;4202.31;0.255104238
06.04.2021;4028.76;4218.70;4021.29;4184.87;3.874835899
02.03.2021;3888.86;4021.22;3723.04;4020.41;3.382771354
02.02.2021;3792.94;3960.36;3788.01;3899.70;2.814630695
04.01.2021;3733.13;3869.88;3661.92;3770.76;1.00803653
02.12.2020;3657.76;3756.46;3605.29;3734.45;2.096445344
02.11.2020;3275.65;3678.94;3270.80;3661.98;11.79401661
02.10.2020;3322.66;3550.02;3233.15;3286.40;-1.091285854
02.09.2020;3542.05;3589.15;3209.37;3380.15;-4.570985584
03.08.2020;3271.79;3529.08;3262.12;3529.08;7.863888548
02.07.2020;3116.35;3292.66;3114.86;3271.72;4.985728474
02.06.2020;3044.35;3233.45;2936.31;3114.35;2.299449084
04.05.2020;2862.79;3069.07;2766.23;3044.58;6.34999235
02.04.2020;2494.77;2964.11;2437.58;2907.64;16.54969448
02.03.2020;2968.07;3137.42;2189.94;2468.57;-16.82897244
03.02.2020;3242.66;3393.68;2854.34;2964.18;-8.588010548
02.01.2020;3226.16;3337.69;3206.94;3224.11;-0.063667042
02.12.2019;3152.24;3251.70;3070.19;3221.53;2.198150006
04.11.2019;3072.27;3154.50;3065.40;3143.97;2.333900905
02.10.2019;2943.17;3067.20;2855.80;3065.33;4.150579292
02.09.2019;2913.16;3022.97;2889.49;2941.18;0.961818094
02.08.2019;2948.43;2960.87;2817.72;2922.88;-0.866562883
02.07.2019;2965.63;3028.09;2944.97;2955.08;-0.355742287
03.06.2019;2739.87;2977.84;2727.83;2964.62;8.202943935
02.05.2019;2957.10;2958.06;2750.27;2752.53;-6.917926347
02.04.2019;2862.37;2949.65;2858.50;2943.81;2.845194716
04.03.2019;2816.20;2869.34;2722.23;2865.10;1.736382359
04.02.2019;2706.01;2813.44;2681.51;2803.33;3.596439038
02.01.2019;2505.74;2716.92;2443.19;2705.65;7.978082323
03.12.2018;2807.93;2813.33;2333.77;2484.04;-11.53483171
02.11.2018;2758.80;2815.34;2625.84;2754.40;-0.159489633
02.10.2018;2920.15;2940.19;2603.34;2734.00;-6.374518637
03.09.2018;2903.44;2941.13;2864.12;2924.06;0.710195835
02.08.2018;2806.30;2916.55;2791.35;2900.98;3.373796677
02.07.2018;2706.33;2848.31;2696.83;2813.32;3.953414488
04.06.2018;2738.94;2791.55;2691.40;2719.83;-0.697614168
02.05.2018;2654.84;2742.23;2594.07;2734.18;2.988670201
03.04.2018;2635.23;2718.18;2551.77;2648.67;0.509910241
02.03.2018;2679.73;2801.65;2585.20;2640.82;-1.452025698
02.02.2018;2818.75;2820.69;2532.40;2678.87;-4.962638438
02.01.2018;2679.36;2873.32;2675.24;2821.89;5.319713298
04.12.2017;2658.81;2698.18;2620.28;2676.24;0.655488561
02.11.2017;2572.59;2658.29;2556.78;2641.97;2.696818215
02.10.2017;2522.30;2588.37;2520.24;2575.64;2.114485604
05.09.2017;2468.68;2519.57;2446.27;2518.46;2.016652494
02.08.2017;2477.37;2491.02;2417.08;2475.32;-0.082716618
03.07.2017;2429.82;2483.18;2407.77;2475.97;1.89953827
02.06.2017;2435.33;2453.92;2415.35;2423.13;-0.500896654
02.05.2017;2386.24;2429.57;2345.97;2429.57;1.815936064
03.04.2017;2363.67;2397.92;2327.52;2383.93;0.857124689
02.03.2017;2393.53;2394.44;2321.37;2362.79;-1.284382351
02.02.2017;2270.07;2401.34;2268.83;2395.37;5.519555207
02.01.2017;2238.13;2303.00;2237.98;2278.69;1.812036277
02.12.2016;2190.27;2278.00;2183.11;2241.01;2.31651594
02.11.2016;2101.88;2218.60;2054.26;2190.66;4.223843736
03.10.2016;2168.06;2170.17;2097.12;2107.32;-2.801589443
02.09.2016;2168.31;2190.65;2108.29;2167.53;-0.036111056
02.08.2016;2173.21;2193.88;2147.58;2170.48;-0.12571254
04.07.2016;2108.52;2183.24;2073.39;2170.86;2.956143729
02.06.2016;2094.13;2120.64;1991.15;2102.10;0.380444567
02.05.2016;2064.95;2106.86;2025.50;2098.65;1.631803905
04.04.2016;2075.35;2111.62;2032.77;2064.83;-0.507239254
02.03.2016;1984.90;2075.45;1968.53;2073.26;4.451717142
02.02.2016;1931.48;1977.99;1808.21;1977.78;2.3971835
04.01.2016;2024.36;2025.70;1811.63;1938.10;-4.260811833
02.12.2015;2105.08;2106.32;1993.21;2041.65;-3.013135349
02.11.2015;2072.35;2116.79;2012.49;2102.35;1.447828426
02.10.2015;1926.39;2099.96;1893.25;2080.12;7.980475387
02.09.2015;1934.92;2021.57;1871.14;1923.56;-0.587104376
03.08.2015;2102.94;2113.12;1831.06;1913.86;-8.991221813
02.07.2015;2077.69;2133.57;2050.59;2105.72;1.349094427
02.06.2015;2111.07;2129.85;2055.37;2077.94;-1.56934635
04.05.2015;2090.88;2137.06;2062.73;2112.00;1.01010101
02.04.2015;2058.65;2125.91;2050.70;2085.30;1.294537682
02.03.2015;2106.54;2117.29;2039.08;2060.46;-2.187473297
02.02.2015;1998.13;2119.65;1980.05;2103.53;5.274932061
02.01.2015;2085.55;2087.58;1979.38;1994.39;-4.371029225
02.12.2014;2056.30;2093.77;1968.58;2078.98;1.102951904
03.11.2014;2016.66;2076.49;2001.14;2053.45;1.824303551
02.10.2014;1948.93;2023.04;1819.37;2016.46;3.464978219
02.09.2014;2004.76;2023.10;1941.32;1945.84;-2.939005168
04.08.2014;1927.34;2005.54;1888.49;2004.51;4.003964013
02.07.2014;1974.20;1991.94;1916.00;1923.84;-2.550906696
02.06.2014;1923.05;1979.21;1915.70;1973.70;2.633836874
02.05.2014;1884.74;1924.06;1860.07;1921.05;1.926525675
02.04.2014;1884.87;1899.56;1812.14;1885.12;0.013263514
03.03.2014;1841.02;1889.11;1835.17;1885.62;2.422570097
03.02.2014;1782.68;1868.28;1737.26;1859.28;4.296901295
02.01.2014;1840.34;1851.23;1766.52;1782.50;-3.142897508
02.12.2013;1805.46;1845.89;1764.84;1840.59;1.945764514
04.11.2013;1757.65;1813.38;1740.39;1805.71;2.734332774
02.10.2013;1694.91;1777.96;1645.93;1757.65;3.701671475
02.09.2013;1643.00;1733.25;1632.71;1697.69;3.328667072
02.08.2013;1704.96;1709.54;1626.88;1631.53;-4.306845908
02.07.2013;1613.86;1707.97;1599.97;1706.71;5.75328715
03.06.2013;1632.95;1654.87;1559.63;1612.61;-1.245598457
02.05.2013;1597.58;1687.40;1580.89;1628.95;1.963594937
02.04.2013;1569.33;1598.58;1535.95;1598.33;1.847922362
04.03.2013;1517.39;1570.32;1502.45;1569.33;3.422982885
04.02.2013;1512.39;1532.15;1483.79;1517.39;0.330602556
02.01.2013;1400.98;1514.17;1393.37;1512.39;7.952290539
03.12.2012;1415.29;1450.43;1380.00;1400.96;-1.012513336
02.11.2012;1427.29;1436.11;1342.90;1415.29;-0.840754156
02.10.2012;1442.87;1471.30;1399.31;1427.58;-1.059693527
03.09.2012;1406.94;1474.72;1396.02;1443.36;2.588596529
02.08.2012;1375.25;1419.92;1354.36;1406.94;2.304308308
02.07.2012;1362.17;1392.12;1325.15;1375.25;0.96023257
04.06.2012;1277.15;1364.17;1266.05;1362.17;6.657009748
02.05.2012;1397.42;1415.68;1276.90;1277.15;-8.606574974
02.04.2012;1411.77;1422.80;1357.32;1397.42;-1.016454522
02.03.2012;1375.24;1417.41;1339.62;1408.19;2.395945435
02.02.2012;1327.08;1378.48;1320.56;1374.83;3.598125207
02.01.2012;1256.71;1333.68;1256.48;1323.71;5.331381146
02.12.2011;1250.04;1272.13;1201.66;1262.20;0.972768871
02.11.2011;1238.07;1278.10;1149.19;1240.78;0.218889077
03.10.2011;1123.12;1293.14;1074.32;1227.62;9.304437638
02.09.2011;1204.90;1220.45;1108.03;1131.33;-6.105900905
02.08.2011;1286.55;1286.55;1098.95;1204.90;-6.346430376
04.07.2011;1339.41;1358.86;1274.05;1286.55;-3.946513764
02.06.2011;1314.22;1341.16;1258.10;1339.41;1.916726271
02.05.2011;1363.25;1374.40;1305.79;1314.22;-3.596552357
04.04.2011;1331.57;1364.50;1294.46;1363.25;2.379146421
02.03.2011;1305.48;1337.64;1248.69;1331.57;1.998498637
02.02.2011;1307.15;1344.31;1294.22;1305.48;-0.127758865
03.01.2011;1265.35;1309.15;1259.92;1307.15;3.303433833
02.12.2010;1205.72;1262.65;1202.72;1257.37;4.28374747
02.11.2010;1184.67;1227.30;1172.97;1205.72;1.776866131
04.10.2010;1144.81;1196.36;1137.14;1184.67;3.481800473
02.09.2010;1080.12;1157.82;1077.83;1145.90;6.090064067
02.08.2010;1101.09;1130.36;1038.68;1080.12;-1.904476473
02.07.2010;1027.65;1122.09;1015.93;1101.09;7.146401985
02.06.2010;1073.01;1131.23;1010.91;1031.10;-3.905834988
03.05.2010;1188.57;1205.13;1040.78;1087.30;-8.520322741
05.04.2010;1178.71;1219.80;1175.12;1206.77;2.380568588
02.03.2010;1117.01;1181.43;1116.51;1171.23;4.854029955
02.02.2010;1090.05;1116.11;1044.50;1105.36;1.404522728
04.01.2010;1116.56;1150.45;1071.59;1073.89;-3.821559074
02.12.2009;1109.03;1130.38;1085.89;1126.60;1.584267333
02.11.2009;1036.18;1113.69;1029.38;1098.89;6.052037291
02.10.2009;1029.71;1101.36;1019.95;1065.41;3.466995562
02.09.2009;996.07;1080.15;991.97;1054.91;5.907215356
03.08.2009;990.22;1039.47;978.51;1019.52;2.958938418
02.07.2009;921.24;996.68;869.32;986.8;7.116495159
02.06.2009;942.87;956.23;888.86;920.82;-2.338604474
04.05.2009;879.21;947.77;878.94;923.26;5.010179593
02.04.2009;814.53;888.7;814.53;872.74;7.146452555
02.03.2009;729.57;832.98;666.79;793.59;8.775031868
02.02.2009;823.09;875.01;734.52;749.93;-8.888456912
02.01.2009;902.99;943.85;804.3;845.69;-6.345585222
02.12.2008;817.94;918.85;817.94;890.59;8.882069589
03.11.2008;968.67;1007.51;741.02;888.61;-8.264940589
02.10.2008;1160.64;1160.64;839.8;953.11;-17.88065205
02.09.2008;1287.82;1303.04;1106.39;1164.17;-9.601497104
04.08.2008;1260.16;1313.15;1247.45;1296.49;2.882967242
02.07.2008;1285.81;1292.17;1200.44;1269.42;-1.274682885
02.06.2008;1399.62;1404.05;1260.68;1276.68;-8.783812749
02.05.2008;1409.16;1440.24;1373.07;1398.36;-0.766414034
02.04.2008;1369.96;1410.07;1324.35;1385.97;1.16864726
03.03.2008;1330.45;1370.18;1256.98;1326.41;-0.303656658
04.02.2008;1395.38;1395.38;1316.75;1364.07;-2.243833221
02.01.2008;1467.97;1471.77;1270.05;1378.60;-6.087999074
03.12.2007;1479.63;1523.57;1435.65;1475.25;-0.296019951
02.11.2007;1511.07;1520.77;1406.10;1471.83;-2.596835355
02.10.2007;1546.96;1576.09;1489.56;1545.79;-0.075632208
04.09.2007;1473.98;1549.02;1439.29;1527.29;3.616738355
02.08.2007;1465.46;1503.41;1370.60;1457.61;-0.535667981
02.07.2007;1506.14;1555.90;1439.64;1454.40;-3.435271621
04.06.2007;1535.36;1540.53;1484.18;1505.70;-1.931794498
02.05.2007;1486.45;1540.56;1486.13;1530.62;2.971509301
02.04.2007;1420.83;1498.02;1416.37;1483.00;4.375611438
02.03.2007;1401.67;1438.85;1373.97;1422.45;1.482517283
02.02.2007;1446.72;1461.57;1380.87;1406.80;-2.759345278
03.01.2007;1418.03;1446.64;1403.97;1437.90;1.401239748
04.12.2006;1396.67;1431.81;1396.67;1424.30;1.978276901
02.11.2006;1366.41;1407.89;1360.98;1400.63;2.504372772
02.10.2006;1335.56;1389.45;1327.10;1377.76;3.159723262
05.09.2006;1310.94;1340.28;1290.93;1338.86;2.129769478
02.08.2006;1270.73;1312.03;1261.30;1303.80;2.602441117
03.07.2006;1270.93;1280.42;1224.54;1275.76;0.380036666
02.06.2006;1286.57;1290.68;1219.29;1272.86;-1.065624101
02.05.2006;1305.18;1326.70;1245.34;1270.22;-2.678557747
03.04.2006;1302.88;1318.16;1280.74;1311.10;0.630909984
02.03.2006;1288.57;1310.88;1268.42;1300.60;0.933593053
02.02.2006;1281.82;1297.57;1253.61;1281.65;-0.013262393
03.01.2006;1252.03;1294.90;1245.74;1280.08;2.240361653
02.12.2005;1263.56;1275.80;1246.59;1254.42;-0.723353066
02.11.2005;1201.79;1270.64;1201.07;1249.48;3.968247364
03.10.2005;1228.81;1233.34;1168.20;1205.85;-1.868474378
02.09.2005;1221.92;1243.13;1205.35;1227.68;0.471389289
02.08.2005;1235.70;1245.86;1201.07;1219.71;-1.294003399
05.07.2005;1193.87;1245.15;1183.55;1234.86;3.433372143
02.06.2005;1202.27;1219.59;1188.30;1191.33;-0.909945353
02.05.2005;1156.85;1205.64;1146.18;1191.07;2.958032588
04.04.2005;1172.97;1191.88;1136.22;1146.00;-2.299291542
02.03.2005;1209.21;1229.11;1163.69;1181.44;-2.296540717
02.02.2005;1189.78;1212.44;1184.16;1204.72;1.25569433
03.01.2005;1213.43;1217.90;1163.75;1181.26;-2.651162407
02.12.2004;1190.68;1217.33;1173.76;1213.55;1.920751167
02.11.2004;1130.85;1191.37;1128.12;1173.83;3.800680904
04.10.2004;1131.50;1142.05;1090.19;1130.26;-0.109589041
02.09.2004;1105.60;1131.64;1101.29;1115.96;0.937047757
02.08.2004;1101.72;1109.68;1060.72;1104.24;0.228733253
02.07.2004;1128.94;1129.18;1078.78;1100.37;-2.530692508
02.06.2004;1121.20;1146.34;1116.56;1140.73;1.741883696
03.05.2004;1107.30;1127.74;1076.32;1119.48;1.099972907
02.04.2004;1135.87;1150.57;1107.23;1113.89;-1.935080599
02.03.2004;1155.89;1163.23;1087.06;1126.20;-2.568583516
02.02.2004;1131.88;1158.98;1124.44;1144.94;1.153832562
02.01.2004;1112.64;1155.38;1105.08;1134.17;1.935037389
02.12.2003;1070.12;1112.56;1053.41;1109.49;3.679026651
03.11.2003;1051.84;1070.47;1031.20;1059.64;0.741557651
02.10.2003;1017.78;1053.79;1013.38;1046.94;2.865059247
02.09.2003;1008.96;1040.29;990.36;997.12;-1.173485569
04.08.2003;979.92;1011.01;960.84;1002.20;2.273654992
02.07.2003;983.34;1015.41;975.63;989.73;0.649826103
02.06.2003;965.31;1015.33;962.1;973.83;0.882618019
02.05.2003;915.08;965.38;912.05;950.7;3.892555842
02.04.2003;858.48;924.24;858.48;916.8;6.793402292
03.03.2003;841.96;895.9;788.9;849.05;0.842082759
03.02.2003;855.7;864.64;806.29;837.7;-2.103540961
02.01.2003;882.4;935.05;840.34;842.6;-4.510426111
02.12.2002;941.57;954.28;869.45;879.08;-6.636787493
04.11.2002;905.57;941.82;872.05;939.83;3.783252537
02.10.2002;843.77;907.44;768.63;884.33;4.806997167
03.09.2002;916.07;924.02;800.2;816.78;-10.83869137
02.08.2002;884.4;965;833.44;916.49;3.628448666
02.07.2002;967.97;993.56;775.68;910.7;-5.916505677
03.06.2002;1066.77;1070.74;952.92;989.15;-7.276170121
02.05.2002;1086.12;1106.59;1048.96;1065.82;-1.869038412
02.04.2002;1143.01;1143.01;1063.46;1076.40;-5.827595559
04.03.2002;1130.93;1173.94;1130.93;1145.96;1.328994721
04.02.2002;1122.09;1131.79;1074.36;1108.74;-1.189744138
02.01.2002;1149.97;1176.97;1081.66;1129.40;-1.788742315
03.12.2001;1137.53;1173.62;1114.53;1160.19;1.992035375
02.11.2001;1083.55;1163.38;1075.58;1140.19;5.22726224
02.10.2001;1038.44;1110.61;1034.47;1060.98;2.170563538
04.09.2001;1133.38;1155.40;944.75;1040.20;-8.221426177
02.08.2001;1225.60;1226.38;1124.87;1128.21;-7.94631201
02.07.2001;1225.00;1239.78;1165.54;1214.30;-0.873469388
04.06.2001;1262.62;1286.62;1203.03;1226.20;-2.884478307
03.05.2001;1264.43;1315.93;1232.00;1257.50;-0.548073045
02.04.2001;1160.20;1269.30;1091.99;1249.55;7.701258404
02.03.2001;1241.23;1267.42;1081.19;1147.95;-7.515126125
02.02.2001;1373.21;1376.38;1214.50;1237.39;-9.890694067
02.01.2001;1320.28;1383.37;1274.62;1365.67;3.437907111
04.12.2000;1317.68;1389.05;1254.07;1333.15;1.174033149
02.11.2000;1426.70;1438.46;1294.90;1317.34;-7.665241466
02.10.2000;1441.68;1454.82;1305.79;1425.25;-1.139642639
05.09.2000;1516.08;1517.10;1419.44;1456.98;-3.898211176
02.08.2000;1438.31;1530.09;1425.43;1520.69;5.727555256
13.07.2000;1492.92;1517.32;1413.89;1430.83;-4.158963642
